run,Diente,Zona local,neighborhood_radius_mm,candidate_status,patch_stability_status,candidate_reason,preop_sample_count,waxup_vertex_count,before_ray_hit_ratio,after_ray_hit_ratio,hit_ratio_delta,local_icp_p95_mm,local_icp_rotation_deg,local_icp_translation_mm,safe_to_apply_local_transform,clinical_caveat
r6,21,Cervical,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",11,1362,1.0,0.9091,-0.0909,2.0915,63.9204,17.0738,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,21,Cervical,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",11,1362,1.0,0.9091,-0.0909,2.0915,63.9204,17.0738,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,21,Cervical,10.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",11,1362,1.0,0.9091,-0.0909,2.0915,63.9204,17.0738,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,15,Cervical,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",6,1478,0.8333,1.0,0.1667,2.1383,99.5239,42.3636,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,14,Cervical,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_translation_gt_3mm,local_icp_rotation_gt_8deg",21,2830,1.0,1.0,0.0,2.1599,11.0765,4.4071,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,24,Cervical,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",21,2683,0.2857,0.9048,0.619,2.18,152.7829,45.4031,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,14,Cervical,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",13,2351,1.0,1.0,0.0,2.1902,20.1297,8.3859,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,25,Cervical,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",17,1876,0.0,0.7059,0.7059,2.1957,169.586,44.2958,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,25,Cervical,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",17,1876,0.0,0.7059,0.7059,2.1957,169.586,44.2958,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,14,Cervical,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_translation_gt_1_5mm",17,2817,1.0,1.0,0.0,2.2279,5.6325,2.4642,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,25,Incisal,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",12,525,0.0,0.75,0.75,2.2378,135.2415,51.3545,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,15,Incisal,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",8,1612,0.0,0.75,0.75,2.2578,35.3784,19.1475,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,15,Medio,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",16,1308,0.0,1.0,1.0,2.2582,168.4573,52.2511,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,15,Cervical,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",6,1598,0.8333,1.0,0.1667,2.2799,104.082,43.6272,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,15,Cervical,10.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",6,1598,0.8333,1.0,0.1667,2.2799,104.082,43.6272,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,12,Medio,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",16,2482,0.0625,0.875,0.8125,2.3031,131.2827,39.1447,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,12,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",16,2482,0.0625,0.875,0.8125,2.3031,131.2827,39.1447,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,12,Medio,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",13,2482,0.0769,0.8462,0.7692,2.3031,131.2827,39.1447,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,15,Incisal,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",14,1616,0.0714,0.5714,0.5,2.3351,126.6379,49.3056,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,22,Medio,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",25,2465,0.6,0.88,0.28,2.34,91.3005,23.9318,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,25,Medio,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_translation_gt_3mm",20,1245,0.0,0.95,0.95,2.3509,4.7444,15.316,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,21,Incisal,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",7,1412,0.0,0.8571,0.8571,2.3852,124.2611,30.1532,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,21,Incisal,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",7,1412,0.0,0.8571,0.8571,2.3852,124.2611,30.1532,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,21,Incisal,10.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",7,1412,0.0,0.8571,0.8571,2.3852,124.2611,30.1532,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,22,Incisal,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",9,1673,0.0,0.4444,0.4444,2.3903,77.7166,24.1349,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,22,Incisal,10.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",9,1673,0.0,0.4444,0.4444,2.3903,77.7166,24.1349,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,22,Incisal,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",8,1673,0.0,0.375,0.375,2.3903,77.7166,24.1349,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,25,Incisal,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",16,606,0.0,0.6875,0.6875,2.4067,133.1629,50.8892,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,25,Incisal,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",16,606,0.0,0.6875,0.6875,2.4067,133.1629,50.8892,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,25,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_translation_gt_3mm",20,1254,0.0,0.95,0.95,2.4211,4.677,15.3176,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,22,Medio,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",19,2465,0.4737,0.9474,0.4737,2.4251,34.1585,8.8983,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,11,Incisal,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",9,1314,0.0,1.0,1.0,2.4971,87.3339,25.6251,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,11,Incisal,10.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",9,1314,0.0,1.0,1.0,2.4971,87.3339,25.6251,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,11,Incisal,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",8,1314,0.0,1.0,1.0,2.5004,91.6804,26.5746,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,15,Incisal,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",6,1309,0.0,1.0,1.0,2.5122,85.9541,36.1887,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,13,Incisal,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",7,963,0.0,0.8571,0.8571,2.5303,89.6942,37.9693,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,13,Incisal,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",8,1076,0.0,0.75,0.75,2.5311,79.3386,33.3751,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,22,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",27,2465,0.5556,0.9259,0.3704,2.5356,104.3036,30.5958,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,22,Cervical,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",24,1826,0.9583,0.6667,-0.2917,2.5886,40.9874,16.1299,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,22,Cervical,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",24,1826,0.9583,0.6667,-0.2917,2.5886,40.9874,16.1299,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,14,Medio,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",11,1843,1.0,1.0,0.0,2.7206,16.0585,8.174,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,11,Medio,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",13,2305,0.3846,0.8462,0.4615,2.7754,51.4358,19.6362,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,11,Medio,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",13,2305,0.3846,0.8462,0.4615,2.7754,51.4358,19.6362,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,11,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",13,2305,0.3846,0.8462,0.4615,2.7754,51.4358,19.6362,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,13,Medio,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",6,3076,0.6667,1.0,0.3333,2.8017,20.4363,10.9246,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,23,Medio,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",13,3080,0.5385,0.9231,0.3846,2.8267,37.3324,15.8005,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,13,Incisal,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",12,1115,0.0,0.8333,0.8333,2.8751,61.8606,22.0899,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,25,Medio,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",14,923,0.0,0.7143,0.7143,2.9279,107.2899,38.8713,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,15,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",25,1974,0.04,0.32,0.28,2.9662,53.7047,22.4699,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,24,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",15,2998,0.3333,0.7333,0.4,2.9819,161.0149,44.6799,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,23,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",16,3428,0.4375,0.9375,0.5,3.0026,28.2215,19.4332,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,14,Incisal,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",10,1222,0.4,0.9,0.5,3.018,39.1375,17.215,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,23,Medio,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",14,3376,0.5,0.9286,0.4286,3.0377,39.3473,22.1544,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,12,Incisal,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",7,1613,0.0,1.0,1.0,3.1142,161.1633,15.4094,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,12,Incisal,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",8,1613,0.0,0.875,0.875,3.1142,161.1633,15.4094,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,12,Incisal,10.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",8,1613,0.0,0.875,0.875,3.1142,161.1633,15.4094,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,15,Medio,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",19,1955,0.0,1.0,1.0,3.194,168.7501,46.8255,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,13,Medio,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",9,3681,0.6667,1.0,0.3333,3.201,40.5608,14.9858,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,14,Incisal,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",12,1588,0.3333,1.0,0.6667,3.2145,174.0994,45.9371,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,24,Medio,6.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",7,1945,0.2857,1.0,0.7143,3.2252,173.3148,44.194,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,23,Incisal,10.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",5,1103,0.0,1.0,1.0,3.388,114.7037,30.3699,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,14,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",17,3383,0.7647,0.8824,0.1176,3.875,52.7919,19.6819,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,13,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",12,3776,0.6667,0.5833,-0.0833,4.1611,89.2185,25.5132,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,14,Medio,8.0,reject,reject,"preop_samples_lt_12,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",11,2576,1.0,1.0,0.0,4.4127,45.4546,19.3461,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,24,Medio,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",12,2501,0.3333,0.75,0.4167,4.9324,110.5381,37.5842,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,23,Incisal,8.0,reject,reject,"preop_samples_lt_12,preop_patch_rank_lt_2,local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,preop_inplane_condition_gt_8",3,1076,0.0,0.6667,0.6667,5.9526,109.5934,16.8398,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,14,Incisal,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",14,1686,0.2857,0.3571,0.0714,6.3673,133.6915,26.1345,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,23,Incisal,6.0,reject,reject,"preop_samples_lt_12,preop_patch_rank_lt_2",2,1045,0.0,,,,,,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,24,Incisal,6.0,reject,reject,"preop_samples_lt_12,preop_patch_extent_lt_1mm,preop_patch_rank_lt_2",0,1273,,,,,,,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,24,Incisal,8.0,reject,reject,"preop_samples_lt_12,preop_patch_extent_lt_1mm,preop_patch_rank_lt_2",0,1484,,,,,,,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,24,Incisal,10.0,reject,reject,"preop_samples_lt_12,preop_patch_extent_lt_1mm,preop_patch_rank_lt_2",2,1555,0.0,,,,,,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
